time,z_pos,rotation,z_target,rz_target
1.5223429203033447,0.03598,-0.3009420092602665,0.18597,0.5335313011998584
1.5429027080535889,0.03486,-0.29741697997248,0.18597,0.5335313011998584
1.563497543334961,0.03372,-0.2939488341115699,0.18597,0.5335313011998584
1.5843496322631836,0.0326,-0.29050071120249604,0.18597,0.5335313011998584
1.6049046516418457,0.03033,-0.28716441961163464,0.18597,0.5335313011998584
1.625453233718872,0.02919,-0.2838903784032729,0.18597,0.5335313011998584
1.6464073657989502,0.02798,-0.28061346383542796,0.18597,0.5335313011998584
1.6672539710998535,0.0255,-0.2774152921304463,0.18597,0.5335313011998584
1.6881678104400635,0.0243,-0.27426783194582055,0.18597,0.5335313011998584
1.7089741230010986,0.02313,-0.2711966417667561,0.18597,0.5335313011998584
1.7295138835906982,0.02196,-0.26822296052372074,0.18597,0.5335313011998584
1.7502260208129883,0.01948,-0.26528134806980647,0.18597,0.5335313011998584
1.7711873054504395,0.01821,-0.26236163776030846,0.18597,0.5335313011998584
1.7919111251831055,0.01697,-0.25953138239549833,0.18597,0.5335313011998584
1.812917947769165,0.01443,-0.2567180013356776,0.18597,0.5335313011998584
1.8334894180297852,0.01313,-0.25401706819410774,0.18597,0.5335313011998584
1.8567986488342285,0.01175,-0.2510156468554842,0.18597,0.5335313011998584
1.8773610591888428,0.00893,-0.2484257668883802,0.18597,0.5335313011998584
1.8981516361236572,0.00754,-0.2458576275991461,0.18597,0.5335313011998584
1.9186828136444092,0.00621,-0.24337094811336718,0.18597,0.5335313011998584
1.9396474361419678,0.00344,-0.24088059883934765,0.18597,0.5335313011998584
1.9601795673370361,0.00197,-0.2384894649809472,0.18597,0.5335313011998584
1.9812111854553223,0.00059,-0.2360871470289469,0.18597,0.5335313011998584
2.001823663711548,-0.00085,-0.23377888738364727,0.18597,0.5335313011998584
2.0225183963775635,-0.00367,-0.23150587449400684,0.18597,0.5335313011998584
2.042966365814209,-0.00514,-0.22930311883821186,0.18597,0.5335313011998584
2.063951015472412,-0.00662,-0.22708535301312927,0.18597,0.5335313011998584
2.0849571228027344,-0.00972,-0.22490833181552894,0.18597,0.5335313011998584
2.1058661937713623,-0.01129,-0.22278325806812055,0.18597,0.5335313011998584
2.1263647079467773,-0.01279,-0.22073985966691245,0.18597,0.5335313011998584
2.147308111190796,-0.01518,-0.21869121572604305,0.18597,0.5335313011998584
2.168398857116699,-0.01753,-0.21666748542854808,0.18597,0.5335313011998584
2.1891860961914062,-0.01909,-0.21471100845528068,0.18597,0.5335313011998584
2.209989547729492,-0.02055,-0.2127897389337267,0.18597,0.5335313011998584
2.2308783531188965,-0.02345,-0.21089664560256682,0.18597,0.5335313011998584
2.2517571449279785,-0.02485,-0.20903980830543184,0.18597,0.5335313011998584
2.2728164196014404,-0.02632,-0.20720172342204435,0.18597,0.5335313011998584
2.2934963703155518,-0.02923,-0.2054304100356908,0.18597,0.5335313011998584
2.3141915798187256,-0.0307,-0.20369008944880262,0.18597,0.5335313011998584
2.3349769115448,-0.03216,-0.20197389862817572,0.18597,0.5335313011998584
2.355567216873169,-0.03358,-0.20030462216626627,0.18597,0.5335313011998584
2.3773298263549805,-0.03641,-0.19857181079670888,0.18597,0.5335313011998584
2.398254632949829,-0.03776,-0.19693697642916003,0.18597,0.5335313011998584
2.4188005924224854,-0.03913,-0.19536054023361715,0.18597,0.5335313011998584
